,date_time,mem.total,mem.free,mem.unit,mem.usage,cpu.total,cpu.busy,cpu.idle,cpu.usage,disk.used,disk.free,disk.usedProc,net.interface,net.tx,net.rx,net.unit,uptime.days,uptime.minutes,uptime.seconds,uptime.hours
136,2024-01-19 08:37:32,1983,1461,Mb,16,949233,169614,779619,4.0,6518324,44085508,12,eth0,50736,545297,bps,11,50.0,7.0,
137,2024-01-19 08:37:43,1983,1451,Mb,17,949244,169616,779628,1.0,6518344,44085488,12,eth0,45040,1000459,bps,11,50.0,18.0,
138,2024-01-19 08:37:54,1983,1451,Mb,17,949255,169618,779636,3.0,6518360,44085472,12,eth0,45884,434225,bps,11,50.0,29.0,
139,2024-01-19 08:38:05,1983,1439,Mb,17,949266,169619,779646,44.0,6518372,44085460,12,eth0,34182,459982,bps,11,50.0,40.0,
140,2024-01-19 08:38:16,1983,1449,Mb,17,949277,169622,779655,1.0,6518388,44085444,12,eth0,43244,1291270,bps,11,50.0,51.0,
141,2024-01-19 08:38:27,1983,1451,Mb,17,949288,169624,779664,1.0,6518396,44085436,12,eth0,53305,651779,bps,11,51.0,2.0,
142,2024-01-19 08:38:38,1983,1448,Mb,17,949299,169625,779673,60.0,6518420,44085412,12,eth0,60841,566408,bps,11,51.0,13.0,
143,2024-01-19 08:38:49,1983,1465,Mb,16,949310,169627,779682,4.0,6518436,44085396,12,eth0,51483,771937,bps,11,51.0,24.0,
144,2024-01-19 08:39:00,1983,1451,Mb,17,949320,169629,779691,1.0,6518452,44085380,12,eth0,36070,334009,bps,11,51.0,35.0,
145,2024-01-19 08:39:11,1983,1452,Mb,17,949331,169632,779699,20.0,6518472,44085360,12,eth0,51180,1161161,bps,11,51.0,46.0,
146,2024-01-19 08:39:22,1983,1445,Mb,17,949342,169633,779709,20.0,6518488,44085344,12,eth0,32126,672518,bps,11,51.0,57.0,
147,2024-01-19 08:39:33,1983,1453,Mb,16,949353,169635,779717,2.0,6518500,44085332,12,eth0,37555,799873,bps,11,52.0,8.0,
148,2024-01-19 08:39:44,1983,1452,Mb,17,949364,169638,779726,,6518528,44085304,12,eth0,63774,600528,bps,11,52.0,19.0,
149,2024-01-19 08:39:55,1983,1444,Mb,17,949375,169639,779735,39.0,6518532,44085300,12,eth0,20577,861958,bps,11,52.0,30.0,
150,2024-01-19 08:40:06,1983,1452,Mb,17,949386,169641,779744,6.0,6518552,44085280,12,eth0,39691,880225,bps,11,52.0,41.0,
151,2024-01-19 08:40:17,1983,1452,Mb,17,949397,169644,779752,5.0,6518576,44085256,12,eth0,40592,988595,bps,11,52.0,52.0,
152,2024-01-19 08:40:28,1983,1443,Mb,17,949407,169645,779762,40.0,6518584,44085248,12,eth0,36332,459118,bps,11,53.0,3.0,
153,2024-01-19 08:40:39,1983,1466,Mb,16,949418,169647,779770,3.0,6518600,44085232,12,eth0,53286,395769,bps,11,53.0,14.0,
154,2024-01-19 08:40:50,1983,1453,Mb,17,949429,169650,779779,1.0,6518624,44085208,12,eth0,42321,480763,bps,11,53.0,25.0,
155,2024-01-19 08:41:01,1983,1442,Mb,17,949440,169651,779788,66.0,6518812,44085020,12,eth0,39580,657712,bps,11,53.0,36.0,
156,2024-01-19 08:41:12,1983,1451,Mb,17,949451,169653,779797,3.0,6518648,44085184,12,eth0,53377,1238030,bps,11,53.0,47.0,
157,2024-01-19 08:41:23,1983,1450,Mb,17,949462,169655,779806,,6518668,44085164,12,eth0,36609,1243488,bps,11,53.0,58.0,
158,2024-01-19 08:41:34,1983,1452,Mb,17,949473,169657,779815,4.0,6518688,44085144,12,eth0,46916,1038532,bps,11,54.0,9.0,
159,2024-01-19 08:41:45,1983,1442,Mb,17,949483,169659,779824,45.0,6518700,44085132,12,eth0,47780,492278,bps,11,54.0,20.0,
160,2024-01-19 08:41:56,1983,1465,Mb,16,949494,169661,779833,3.0,6518720,44085112,12,eth0,40724,1095155,bps,11,54.0,31.0,
161,2024-01-19 08:42:07,1983,1452,Mb,17,949505,169663,779842,,6518736,44085096,12,eth0,57331,507401,bps,11,54.0,42.0,
