,date_time,bitrate_out,bitrate,ts,streamId
216,2024-01-19 08:19:53,268,268,1705695593,input_1
217,2024-01-19 08:19:55,258,258,1705695595,input_1
218,2024-01-19 08:19:57,163,163,1705695597,input_1
219,2024-01-19 08:19:59,771,771,1705695599,input_1
220,2024-01-19 08:20:01,847,847,1705695601,input_1
221,2024-01-19 08:20:03,652,652,1705695603,input_1
222,2024-01-19 08:20:05,763,763,1705695605,input_1
223,2024-01-19 08:20:07,779,779,1705695607,input_1
224,2024-01-19 08:20:09,500,500,1705695609,input_1
225,2024-01-19 08:20:11,647,647,1705695611,input_1
226,2024-01-19 08:20:13,874,874,1705695613,input_1
227,2024-01-19 08:20:15,929,929,1705695615,input_1
228,2024-01-19 08:20:17,572,572,1705695617,input_1
229,2024-01-19 08:20:19,226,226,1705695619,input_1
230,2024-01-19 08:20:21,804,804,1705695621,input_1
231,2024-01-19 08:20:23,688,688,1705695623,input_1
232,2024-01-19 08:20:25,580,580,1705695625,input_1
233,2024-01-19 08:20:27,389,389,1705695627,input_1
234,2024-01-19 08:20:29,189,189,1705695629,input_1
235,2024-01-19 08:20:31,207,207,1705695631,input_1
236,2024-01-19 08:20:33,280,280,1705695633,input_1
237,2024-01-19 08:20:35,134,134,1705695635,input_1
238,2024-01-19 08:20:37,328,328,1705695637,input_1
239,2024-01-19 08:20:39,45,45,1705695639,input_1
240,2024-01-19 08:20:41,214,214,1705695641,input_1
241,2024-01-19 08:20:43,59,59,1705695643,input_1
242,2024-01-19 08:20:45,242,242,1705695645,input_1
243,2024-01-19 08:20:47,468,468,1705695647,input_1
244,2024-01-19 08:20:49,118,118,1705695649,input_1
245,2024-01-19 08:20:51,171,171,1705695651,input_1
246,2024-01-19 08:20:53,160,160,1705695653,input_1
247,2024-01-19 08:20:55,462,462,1705695655,input_1
248,2024-01-19 08:20:57,216,216,1705695657,input_1
249,2024-01-19 08:20:59,291,291,1705695659,input_1
250,2024-01-19 08:21:01,286,286,1705695661,input_1
251,2024-01-19 08:21:03,289,289,1705695663,input_1
252,2024-01-19 08:21:05,348,348,1705695665,input_1
253,2024-01-19 08:21:07,588,588,1705695667,input_1
254,2024-01-19 08:21:09,243,243,1705695669,input_1
255,2024-01-19 08:21:11,399,399,1705695671,input_1
256,2024-01-19 08:21:13,331,331,1705695673,input_1
257,2024-01-19 08:21:15,807,807,1705695675,input_1
258,2024-01-19 08:21:17,1069,1069,1705695677,input_1
259,2024-01-19 08:21:19,964,964,1705695679,input_1
260,2024-01-19 08:21:21,461,461,1705695681,input_1
261,2024-01-19 08:21:23,787,787,1705695683,input_1
262,2024-01-19 08:21:25,283,283,1705695685,input_1
263,2024-01-19 08:21:27,1348,1348,1705695687,input_1
264,2024-01-19 08:21:29,756,756,1705695689,input_1
265,2024-01-19 08:21:31,573,573,1705695691,input_1
266,2024-01-19 08:21:33,379,379,1705695693,input_1
267,2024-01-19 08:21:35,320,320,1705695695,input_1
268,2024-01-19 08:21:37,649,649,1705695697,input_1
269,2024-01-19 08:21:39,671,671,1705695699,input_1
270,2024-01-19 08:21:41,560,560,1705695701,input_1
271,2024-01-19 08:21:43,330,330,1705695703,input_1
272,2024-01-19 08:21:45,151,151,1705695705,input_1
273,2024-01-19 08:21:47,304,304,1705695707,input_1
274,2024-01-19 08:21:49,331,331,1705695709,input_1
275,2024-01-19 08:21:51,168,168,1705695711,input_1
276,2024-01-19 08:21:53,376,376,1705695713,input_1
277,2024-01-19 08:21:55,270,270,1705695715,input_1
278,2024-01-19 08:21:57,769,769,1705695717,input_1
279,2024-01-19 08:21:59,634,634,1705695719,input_1
280,2024-01-19 08:22:01,820,820,1705695721,input_1
281,2024-01-19 08:22:03,633,633,1705695723,input_1
282,2024-01-19 08:22:05,629,629,1705695725,input_1
283,2024-01-19 08:22:07,161,161,1705695727,input_1
284,2024-01-19 08:22:09,248,248,1705695729,input_1
285,2024-01-19 08:22:11,399,399,1705695731,input_1
286,2024-01-19 08:22:13,151,151,1705695733,input_1
287,2024-01-19 08:22:15,267,267,1705695735,input_1
288,2024-01-19 08:22:17,87,87,1705695737,input_1
289,2024-01-19 08:22:19,160,160,1705695739,input_1
290,2024-01-19 08:22:21,205,205,1705695741,input_1
291,2024-01-19 08:22:23,117,117,1705695743,input_1
292,2024-01-19 08:22:25,200,200,1705695745,input_1
293,2024-01-19 08:22:27,431,431,1705695747,input_1
294,2024-01-19 08:22:29,194,194,1705695749,input_1
295,2024-01-19 08:22:31,165,165,1705695751,input_1
296,2024-01-19 08:22:33,176,176,1705695753,input_1
297,2024-01-19 08:22:35,214,214,1705695755,input_1
298,2024-01-19 08:22:37,325,325,1705695757,input_1
299,2024-01-19 08:22:39,335,335,1705695759,input_1
300,2024-01-19 08:22:41,390,390,1705695761,input_1
301,2024-01-19 08:22:43,435,435,1705695763,input_1
302,2024-01-19 08:22:45,480,480,1705695765,input_1
303,2024-01-19 08:22:47,406,406,1705695767,input_1
304,2024-01-19 08:22:49,347,347,1705695769,input_1
305,2024-01-19 08:22:51,395,395,1705695771,input_1
306,2024-01-19 08:22:53,377,377,1705695773,input_1
307,2024-01-19 08:22:55,451,451,1705695775,input_1
308,2024-01-19 08:22:57,330,330,1705695777,input_1
309,2024-01-19 08:22:59,508,508,1705695779,input_1
310,2024-01-19 08:23:01,425,425,1705695781,input_1
311,2024-01-19 08:23:03,377,377,1705695783,input_1
312,2024-01-19 08:23:05,382,382,1705695785,input_1
313,2024-01-19 08:23:07,431,431,1705695787,input_1
314,2024-01-19 08:23:09,656,656,1705695789,input_1
315,2024-01-19 08:23:11,903,903,1705695791,input_1
316,2024-01-19 08:23:13,997,997,1705695793,input_1
317,2024-01-19 08:23:15,759,759,1705695795,input_1
318,2024-01-19 08:23:17,871,871,1705695797,input_1
319,2024-01-19 08:23:19,877,877,1705695799,input_1
320,2024-01-19 08:23:21,621,621,1705695801,input_1
321,2024-01-19 08:23:23,825,825,1705695803,input_1
322,2024-01-19 08:23:25,713,713,1705695805,input_1
323,2024-01-19 08:23:27,651,651,1705695807,input_1
324,2024-01-19 08:23:29,823,823,1705695809,input_1
325,2024-01-19 08:23:31,757,757,1705695811,input_1
326,2024-01-19 08:23:33,834,834,1705695813,input_1
327,2024-01-19 08:23:35,653,653,1705695815,input_1
328,2024-01-19 08:23:37,674,674,1705695817,input_1
329,2024-01-19 08:23:39,428,428,1705695819,input_1
330,2024-01-19 08:23:41,288,288,1705695821,input_1
331,2024-01-19 08:23:43,171,171,1705695823,input_1
332,2024-01-19 08:23:45,255,255,1705695825,input_1
333,2024-01-19 08:23:47,228,228,1705695827,input_1
334,2024-01-19 08:23:49,232,232,1705695829,input_1
335,2024-01-19 08:23:51,180,180,1705695831,input_1
336,2024-01-19 08:23:53,191,191,1705695833,input_1
337,2024-01-19 08:23:55,80,80,1705695835,input_1
338,2024-01-19 08:23:57,103,103,1705695837,input_1
339,2024-01-19 08:23:59,173,173,1705695839,input_1
340,2024-01-19 08:24:01,99,99,1705695841,input_1
341,2024-01-19 08:24:03,112,112,1705695843,input_1
342,2024-01-19 08:24:05,156,156,1705695845,input_1
343,2024-01-19 08:24:07,188,188,1705695847,input_1
344,2024-01-19 08:24:09,182,182,1705695849,input_1
345,2024-01-19 08:24:11,191,191,1705695851,input_1
346,2024-01-19 08:24:13,163,163,1705695853,input_1
347,2024-01-19 08:24:15,649,649,1705695855,input_1
348,2024-01-19 08:24:17,507,507,1705695857,input_1
349,2024-01-19 08:24:19,508,508,1705695859,input_1
350,2024-01-19 08:24:21,431,431,1705695861,input_1
351,2024-01-19 08:24:23,580,580,1705695863,input_1
352,2024-01-19 08:24:25,726,726,1705695865,input_1
353,2024-01-19 08:24:27,560,560,1705695867,input_1
354,2024-01-19 08:24:29,175,175,1705695869,input_1
355,2024-01-19 08:24:31,142,142,1705695871,input_1
356,2024-01-19 08:24:33,186,186,1705695873,input_1
357,2024-01-19 08:24:35,390,390,1705695875,input_1
358,2024-01-19 08:24:37,741,741,1705695877,input_1
359,2024-01-19 08:24:39,716,716,1705695879,input_1
360,2024-01-19 08:24:41,571,571,1705695881,input_1
361,2024-01-19 08:24:43,604,604,1705695883,input_1
362,2024-01-19 08:24:45,745,745,1705695885,input_1
363,2024-01-19 08:24:47,282,282,1705695887,input_1
364,2024-01-19 08:24:49,338,338,1705695889,input_1
365,2024-01-19 08:24:51,282,282,1705695891,input_1
366,2024-01-19 08:24:53,331,331,1705695893,input_1
367,2024-01-19 08:24:55,267,267,1705695895,input_1
368,2024-01-19 08:24:57,334,334,1705695897,input_1
369,2024-01-19 08:24:59,345,345,1705695899,input_1
370,2024-01-19 08:25:01,408,408,1705695901,input_1
371,2024-01-19 08:25:03,531,531,1705695903,input_1
372,2024-01-19 08:25:05,211,211,1705695905,input_1
373,2024-01-19 08:25:07,404,404,1705695907,input_1
374,2024-01-19 08:25:09,115,115,1705695909,input_1
375,2024-01-19 08:25:11,138,138,1705695911,input_1
376,2024-01-19 08:25:13,132,132,1705695913,input_1
377,2024-01-19 08:25:15,106,106,1705695915,input_1
378,2024-01-19 08:25:17,260,260,1705695917,input_1
379,2024-01-19 08:25:19,342,342,1705695919,input_1
380,2024-01-19 08:25:21,341,341,1705695921,input_1
381,2024-01-19 08:25:23,139,139,1705695923,input_1
382,2024-01-19 08:25:25,133,133,1705695925,input_1
383,2024-01-19 08:25:27,446,446,1705695927,input_1
384,2024-01-19 08:25:29,628,628,1705695929,input_1
385,2024-01-19 08:25:31,853,853,1705695931,input_1
386,2024-01-19 08:25:33,390,390,1705695933,input_1
387,2024-01-19 08:25:35,368,368,1705695935,input_1
388,2024-01-19 08:25:37,58,58,1705695937,input_1
389,2024-01-19 08:25:39,243,243,1705695939,input_1
390,2024-01-19 08:25:41,170,170,1705695941,input_1
391,2024-01-19 08:25:43,202,202,1705695943,input_1
392,2024-01-19 08:25:45,76,76,1705695945,input_1
393,2024-01-19 08:25:47,186,186,1705695947,input_1
394,2024-01-19 08:25:49,178,178,1705695949,input_1
395,2024-01-19 08:25:51,275,275,1705695951,input_1
396,2024-01-19 08:25:53,146,146,1705695953,input_1
397,2024-01-19 08:25:55,368,368,1705695955,input_1
398,2024-01-19 08:25:57,246,246,1705695957,input_1
399,2024-01-19 08:25:59,296,296,1705695959,input_1
400,2024-01-19 08:26:01,202,202,1705695961,input_1
401,2024-01-19 08:26:03,281,281,1705695963,input_1
402,2024-01-19 08:26:05,451,451,1705695965,input_1
403,2024-01-19 08:26:07,234,234,1705695967,input_1
404,2024-01-19 08:26:09,447,447,1705695969,input_1
405,2024-01-19 08:26:11,707,707,1705695971,input_1
406,2024-01-19 08:26:13,519,519,1705695973,input_1
407,2024-01-19 08:26:15,403,403,1705695975,input_1
408,2024-01-19 08:26:17,196,196,1705695977,input_1
409,2024-01-19 08:26:19,366,366,1705695979,input_1
410,2024-01-19 08:26:21,267,267,1705695981,input_1
411,2024-01-19 08:26:23,342,342,1705695983,input_1
412,2024-01-19 08:26:25,299,299,1705695985,input_1
413,2024-01-19 08:26:27,452,452,1705695987,input_1
414,2024-01-19 08:26:29,306,306,1705695989,input_1
415,2024-01-19 08:26:31,480,480,1705695991,input_1
416,2024-01-19 08:26:33,357,357,1705695993,input_1
417,2024-01-19 08:26:35,542,542,1705695995,input_1
418,2024-01-19 08:26:37,376,376,1705695997,input_1
419,2024-01-19 08:26:39,269,269,1705695999,input_1
420,2024-01-19 08:26:41,235,235,1705696001,input_1
421,2024-01-19 08:26:43,295,295,1705696003,input_1
422,2024-01-19 08:26:45,613,613,1705696005,input_1
423,2024-01-19 08:26:47,324,324,1705696007,input_1
424,2024-01-19 08:26:49,218,218,1705696009,input_1
425,2024-01-19 08:26:51,254,254,1705696011,input_1
426,2024-01-19 08:26:53,377,377,1705696013,input_1
427,2024-01-19 08:26:55,401,401,1705696015,input_1
428,2024-01-19 08:26:57,365,365,1705696017,input_1
429,2024-01-19 08:26:59,285,285,1705696019,input_1
430,2024-01-19 08:27:01,469,469,1705696021,input_1
431,2024-01-19 08:27:03,148,148,1705696023,input_1
432,2024-01-19 08:27:05,190,190,1705696025,input_1
433,2024-01-19 08:27:07,184,184,1705696027,input_1
434,2024-01-19 08:27:09,711,711,1705696029,input_1
435,2024-01-19 08:27:11,224,224,1705696031,input_1
436,2024-01-19 08:27:13,535,535,1705696033,input_1
437,2024-01-19 08:27:15,536,536,1705696035,input_1
438,2024-01-19 08:27:17,570,570,1705696037,input_1
